category,title,description,blogger,date,link,sentiment_score,sentiment_interpretation,search_query,search_lang,collected_at,platform,sort_option,sentiment_method
에너지-조명,A Cheetah...A Cheetah...A Cheetah,"to self: preview is your friend. Jinx, alzi! posted by EvaDestruction at 8:56 AM on January 31, 2012 My kids only know the hand-drawn logo for the local oilman's co-operative where I... ",MetaFilter | Community Weblog,20120131,https://www.metafilter.com/112243/A-CheetahA-CheetahA-Cheetah,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,Panasonic AF101 and GH2 cameras from cameraman,It was late dusk and I was hand held. To find the narrow plain of focus l found I had to sway gently back and forth. The GH2 is a surprisingly good low light performer. You can crank up... ,T H E · I M P R E S S I O N · I S S U E,20120201,https://blog.naver.com/youseok0/10130661282,1,"대체로 약한 긍정 경향이 나타나며, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에서 기본적인 효용과 실용성이 인정됩니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,A Surgical Light For The Developing World - Fast Company,"without light. Medical procedures end up happening in badly under-lit conditions, illuminated by flashlight or kerosene lantern. As part of a contest run by India Future of Change... ",Fast Company,20120201,https://www.fastcompany.com/1668939/a-surgical-light-for-the-developing-world,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,TED-MWB#20. Medicine's future?,"medicine, powered by new tools, tests and apps that bring diagnostic information right to... the emergency room -- I can do some diagnostics that way. Or might we be able to leverage... ",Goldenrule English,20120212,https://blog.naver.com/goldenrule50/20150634680,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,Kuang Grade Mark Eleven,"was powered on or off.' Some handsets can't be fully powered down without removing the... or emergency restore partition, alongside the supposed 'main' Windows partition that's just... ",MetaFilter | Community Weblog,20120213,https://www.metafilter.com/112757/Kuang-Grade-Mark-Eleven,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,Using GoPro Cameras on Live Multi-Camera Remote... ,"red light on the front lights up. Keep the camera powered off for now. Charge the battery... The Evertz is vital to crank the detail, bring up the exposure and match the colors of the... ",촬영감독 나종광,20120218,https://blog.naver.com/1967jk/20151163973,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,포스트 제목을USING GOPRO CAMERAS ON LIVE MULTI-CAMERA... ,"red light on the front lights up. Keep the camera powered off for now. Charge the battery... The Evertz is vital to crank the detail, bring up the exposure and match the colors of the... ","영화연출,영화촬영",20120218,https://blog.naver.com/filmgo/120152887006,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,Practical Tips from 4 Years of Traveling The World,"one's self. posted by Serial Killer Slumber Party at 10:30 PM on April 6, 2012 [4... Good additions: Flashlight, iPod w/ travel speakers, sleeping bag, windbreaker with zip-in lining... ",MetaFilter | Community Weblog,20120406,https://www.metafilter.com/114622/Practical-Tips-from-4-Years-of-Traveling-The-World,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,ALL New 2013 ES!,"The ES 350 is powered by a 3.5-liter V6 engine with Dual VVT-i. The six-speed automatic... Lexus Safety Connect, including Enhanced Roadside Assistance, an Emergency Assistance Button (SOS), Stolen... ",불꽃남자의 일상,20120414,https://blog.naver.com/boomcap/110136297360,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,12 Volt Fluorescent Lamp Drivers,"available, powered by flashlight batteries. But most of these cheap things have a quirk: They don't drive the fluorescent tubes correctly, resulting in low light output, and an... ",nanaba,20120420,https://blog.naver.com/nanaba_777/140157502129,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
