category,title,description,blogger,date,link,sentiment_score,sentiment_interpretation,search_query,search_lang,collected_at,platform,sort_option,sentiment_method
에너지-조명,자동차 상식및 관리,"이다 ■ 자가 진단법 I ■ 초기시동 , 급가속때 『 삑삑 』소음이 난다 ■ 발전기와 연결된 벨트가... 미친다 ■ 핸들의 떨림 ■ 휠 밸런스에 이상이 생겼음을 알리는 증상 ■ 휠 밸런스는 전문업소에서 모자라는... ",teorema님의 블로그,20041201,https://blog.naver.com/teoremaa/80008154258,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",수동발전 랜턴 핸드크랭크 랜턴 비상용 랜턴 자가발전 랜턴 손전등 비상용 손전등,ko,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,자동차 상식,이다 ○ 자가 진단법 I 1) 초기시동 · 급가속때 『 삑삑 』소음이 난다 발전기와 연결된 벨트가... 6) 핸들의 떨림 휠 밸런스에 이상이 생겼음을 알리는 증상 휠 밸런스는 전문업소에서 모자라는 무게만큼... ,새로운 시작..,20050309,https://blog.naver.com/tlstprp8/40011116316,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",수동발전 랜턴 핸드크랭크 랜턴 비상용 랜턴 자가발전 랜턴 손전등 비상용 손전등,ko,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,네그로폰테의 100$노트북,"기본사양 500MHz프로세서, 1GB메모리, 리눅스 OS, 듀얼모드 컬러 디스플레이와 4개의 USB포트를 갖는 이 노트북은 마지막 그림에서처럼 핸드 크랭크라는 수동발전기를 통해 자가발전을 할 수 있도록... ",성공매니저™,20051007,https://blog.naver.com/diast/20017843780,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",수동발전 랜턴 핸드크랭크 랜턴 비상용 랜턴 자가발전 랜턴 손전등 비상용 손전등,ko,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,[본문스크랩] 네그로폰테의 100$노트북,"기본사양 500MHz프로세서, 1GB메모리, 리눅스 OS, 듀얼모드 컬러 디스플레이와 4개의 USB포트를 갖는 이 노트북은 마지막 그림에서처럼 핸드 크랭크라는 수동발전기를 통해 자가발전을 할 수... ",처음 느낌 그대로,20060924,https://blog.naver.com/xutov61930/29038640,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",수동발전 랜턴 핸드크랭크 랜턴 비상용 랜턴 자가발전 랜턴 손전등 비상용 손전등,ko,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,자전거 여행,"막연히 사막과 오아시스를 꿈 꾸었기에, 그리고, 혹시나 B162에서 온 어린왕자가 내게도 다가올지... 다용도 칼 - 너무나 유명하므로 생략...하지만 이 것은 비상용으로 가져 가서 가끔 사용하는 것이... ",활기찬 하루 하루,20061227,https://blog.naver.com/bocheol2/30012539698,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",수동발전 랜턴 핸드크랭크 랜턴 비상용 랜턴 자가발전 랜턴 손전등 비상용 손전등,ko,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,CJ무역-NEW 자가발전 후레쉬/손전등/랜턴/가정비상랜턴/등산... ,CJ무역-NEW 자가발전 후레쉬/손전등/랜턴/가정비상랜턴/등산 낚시/야간/휴대용/건전지NO/ 브랜드 평점... 정밀한 부속이 눈에 띄지는 않는다. 간단한 구조... 정말 비상용으로는 좋아보인다. 단점은 좀 어둡다는거...,Today is...,20070409,https://blog.naver.com/today_is/100087146035,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",수동발전 랜턴 핸드크랭크 랜턴 비상용 랜턴 자가발전 랜턴 손전등 비상용 손전등,ko,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,니콘,제2차 세계대전 동안에는 일본광학은 일본군의 광학군수품의 중요한 공급자가 되었으며 일본... 되감기용 크랭크가 있다. 보다 커진 뷰파인더는 1:1 배율로 보여준다. 커진 뷰파인더로 윗판이... ,달콤쌉싸름한 제제,20070529,https://blog.naver.com/mintchuu/40081050398,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",수동발전 랜턴 핸드크랭크 랜턴 비상용 랜턴 자가발전 랜턴 손전등 비상용 손전등,ko,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,도시철도시설 안전기준에 관한규칙,"“관계자”라 함은 철도산업발전기본법 제3조 제9호의 규정에 의한 철도시설관리자를 말한다. 5.... “소화설비”라 함은 수동식 소화기, 옥내소화전설비, 물분무소화설비, 이산화탄소소화설비 등 화재에... ",감리서나의 남도여행 미니포커스,20080111,https://blog.naver.com/gmrtc/50026591376,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",수동발전 랜턴 핸드크랭크 랜턴 비상용 랜턴 자가발전 랜턴 손전등 비상용 손전등,ko,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,자동차 관리상식,이다 ○ 자가 진단법 I ? 초기시동 · 급가속때 『 삑삑 』소음이 난다 ? 발전기와 연결된 벨트가... 핸들의 떨림 ? 휠 밸런스에 이상이 생겼음을 알리는 증상 ? 휠 밸런스는 전문업소에서 모자라는 무게만큼... ,Heaven을 향하여,20081202,https://blog.naver.com/lordplayer/10038222248,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",수동발전 랜턴 핸드크랭크 랜턴 비상용 랜턴 자가발전 랜턴 손전등 비상용 손전등,ko,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,탄자니아 단원 지침서,Ⅶ. 단원 지침서 1. 임지로 떠나기 前 준비사항 1. 1. 준비할 일과 물건 1. 1. 1. 준비할 일 1. 1. 1. 1. 건강 우리나라와는 전혀 다른 낯선 기후에서 활동에 지장을 받지 않고 임기가 끝나는 그 날까지 무사히... ,1+1=4 ♡,20090222,https://blog.naver.com/djdoorumi/62526015,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",수동발전 랜턴 핸드크랭크 랜턴 비상용 랜턴 자가발전 랜턴 손전등 비상용 손전등,ko,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
