title,blogger,postdate,link,brand_candidates,brand_matched_keywords,product_category_candidates,product_category_matched_keywords,mapping_note
피부건강과 탄력증진 세레니끄 반포자이점 반포피부관리,sjo20581님의 블로그,20260506,https://blog.naver.com/sjo20581/224276357652,,{},,{},no_brand_or_category_match
초보자가 막히는 부분과 단계별 순서로 자극진정 효과 높이는...,체험 단단단,20260506,https://blog.naver.com/cco0714/224276349936,,{},"라벤더 계열, 블렌딩 오일 계열","{""라벤더 계열"": [""라벤더""], ""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
용인마사지 지친 일상에 깊은 휴식을 더하는 카시아타이...,hotlove006님의 블로그,20260506,https://blog.naver.com/hotlove006/224276349360,,{},,{},no_brand_or_category_match
만족한 세종마사지 라파테라피 세종마사지샵,맛집 뷰티 여행가,20260506,https://blog.naver.com/alstj3124/224276340531,아베다,"{""아베다"": [""아베다""]}",,{},brand_direct_match
테라피 샹그릴라 서귀포점 전문 케어 통해 신체 긴장 완화하고...,wdsdd,20260506,https://blog.naver.com/xorhkd135/224276340002,,{},,{},no_brand_or_category_match
“데이트 코스 끝판왕”…커플 마사지 받고 둘 다 말없이...,페론여사의 건강&뷰티 이야기,20260506,https://blog.naver.com/100hwagaroo/224275719004,,{},,{},no_brand_or_category_match
심신의 안정을 돕는 아로마 테라피 활용법,으낭잉잉,20260506,https://blog.naver.com/asn6uukp3/224276337084,,{},"라벤더 계열, 페퍼민트 계열, 로즈마리 계열, 블렌딩 오일 계열","{""라벤더 계열"": [""라벤더""], ""페퍼민트 계열"": [""페퍼민트""], ""로즈마리 계열"": [""로즈마리""], ""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
"청주 마사지로 만난 새로운 휴식, 사이공뷰티앤마사지...",조용한 엄마의 이야기,20260506,https://blog.naver.com/ksa3478/224276330958,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
피부가 건조해지니 상무지구 피부관리 생각나네,맛집과 건강 일상,20260506,https://blog.naver.com/freshet11896/224275966720,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
[태국어 회화 #5] 태국 마사지샵에서 쓰는 태국어 표현 총정리...,태또남 | 태국에 또 가는 이유를 기록하다,20260506,https://blog.naver.com/taettonam/224275304665,,{},,{},no_brand_or_category_match
