구분,항목,게시글 수,비고
수집 요약,수집 글 수,1000.0,중복 링크 제거 후 수집된 게시글 수
수집 요약,본문 크롤링 성공,995.0,crawl_status가 ok인 게시글 수
수집 요약,평균 본문 길이,7889.96,body_length 평균값
브랜드 직접 매칭 결과,티타임,44.0,티타임
브랜드 직접 매칭 결과,스타벅스,40.0,스타벅스
브랜드 직접 매칭 결과,다란,34.0,다란
브랜드 직접 매칭 결과,티랑,26.0,티랑
브랜드 직접 매칭 결과,테스,25.0,테스
브랜드 직접 매칭 결과,오설록,24.0,"OSULLOC, osulloc, 오설록"
브랜드 직접 매칭 결과,루트,21.0,루트
브랜드 직접 매칭 결과,공차,13.0,공차
브랜드 직접 매칭 결과,바라기,8.0,바라기
브랜드 직접 매칭 결과,투썸플레이스,7.0,"투썸, 투썸플레이스"
브랜드 직접 매칭 결과,이디야,7.0,이디야
브랜드 직접 매칭 결과,라바,7.0,라바
브랜드 직접 매칭 결과,웰빙,7.0,웰빙
브랜드 직접 매칭 결과,아마드티,5.0,"Ahmad, Ahmad Tea, ahmad, ahmad tea, 아마드티"
브랜드 직접 매칭 결과,립톤,5.0,립톤
브랜드 직접 매칭 결과,인차,5.0,인차
브랜드 직접 매칭 결과,빅토리아,5.0,빅토리아
브랜드 직접 매칭 결과,쌍계명차,4.0,"쌍계, 쌍계명차"
브랜드 직접 매칭 결과,다정헌,4.0,다정헌
브랜드 직접 매칭 결과,쿠우쿠우,4.0,쿠우쿠우
브랜드 직접 매칭 결과,타바론,3.0,"Tavalon, tavalon, 타바론"
브랜드 직접 매칭 결과,곰곰,3.0,곰곰
브랜드 직접 매칭 결과,숲으로,3.0,숲으로
브랜드 직접 매칭 결과,아일레스,3.0,아일레스
브랜드 직접 매칭 결과,이레,3.0,이레
브랜드 직접 매칭 결과,트와이닝,3.0,트와이닝
브랜드 직접 매칭 결과,티젠,3.0,티젠
브랜드 직접 매칭 결과,로얄오차드,2.0,로얄오차드
브랜드 직접 매칭 결과,산그리메,2.0,산그리메
브랜드 직접 매칭 결과,순수한집,2.0,순수한집
브랜드 직접 매칭 결과,목향,2.0,목향
브랜드 직접 매칭 결과,자연애,2.0,자연애
브랜드 직접 매칭 결과,청년농원,2.0,청년농원
브랜드 직접 매칭 결과,제임스티스푼,2.0,제임스티스푼
브랜드 직접 매칭 결과,노브랜드,2.0,노브랜드
브랜드 직접 매칭 결과,렌테,2.0,렌테
브랜드 직접 매칭 결과,로네펠트,2.0,로네펠트
브랜드 직접 매칭 결과,포트넘앤메이슨,1.0,"Fortnum, Fortnum & Mason, fortnum, fortnum & mason"
브랜드 직접 매칭 결과,타조,1.0,타조
브랜드 직접 매칭 결과,우리차,1.0,우리차
브랜드 직접 매칭 결과,해피테라스,1.0,해피테라스
브랜드 직접 매칭 결과,누미,1.0,누미
브랜드 직접 매칭 결과,푸카,1.0,푸카
브랜드 직접 매칭 결과,에빠니,1.0,에빠니
브랜드 직접 매칭 결과,우리가스토리,1.0,우리가스토리
브랜드 직접 매칭 결과,딜마,1.0,딜마
브랜드 직접 매칭 결과,아름드레,1.0,아름드레
브랜드 직접 매칭 결과,올가홀푸드,1.0,올가홀푸드
브랜드 직접 매칭 결과,티프렌,1.0,티프렌
브랜드 직접 매칭 결과,셀레셜시즈닝스,1.0,셀레셜시즈닝스
브랜드 직접 매칭 결과,아모레퍼시픽,1.0,아모레퍼시픽
브랜드 직접 매칭 결과,티칸네,1.0,티칸네
브랜드 직접 매칭 결과,다하다,1.0,다하다
브랜드 직접 매칭 결과,가나다,1.0,가나다
브랜드 직접 매칭 결과,아레스,1.0,아레스
브랜드 직접 매칭 결과,요기티,1.0,요기티
브랜드 직접 매칭 결과,테틀리,1.0,테틀리
브랜드 직접 매칭 결과,도밍고,1.0,도밍고
브랜드 직접 매칭 결과,오허브,1.0,오허브
브랜드 직접 매칭 결과,다비앙,1.0,다비앙
브랜드 직접 매칭 결과,대본,1.0,대본
브랜드 직접 매칭 결과,푸드올로지,1.0,푸드올로지
브랜드 직접 매칭 결과,제이슨,1.0,제이슨
브랜드 직접 매칭 결과,티앤,1.0,티앤
브랜드 직접 매칭 결과,오클리,1.0,오클리
브랜드 직접 매칭 결과,다예,1.0,다예
브랜드 직접 매칭 결과,JARDIN,1.0,JARDIN
브랜드 직접 매칭 결과,티푸드,1.0,티푸드
브랜드 직접 매칭 결과,담터,1.0,담터
브랜드 직접 매칭 결과,다농원,1.0,다농원
브랜드 직접 매칭 결과,리쉬티,1.0,리쉬티
브랜드 직접 매칭 결과,더하다,1.0,더하다
브랜드 직접 매칭 결과,신선약초,1.0,신선약초
상품군 맵핑 결과,차/티백 계열,1000.0,"tea bag, teabag, 차, 침출차, 티, 티백"
상품군 맵핑 결과,히비스커스 계열,1000.0,"hibiscus, 하이비스커스, 히비스커스"
상품군 맵핑 결과,아이스티/음료 계열,682.0,"ade, drink, ice tea, iced tea, 아이스티, 에이드, 음료"
상품군 맵핑 결과,블렌딩티 계열,405.0,"berry, blend, blending, 로즈힙, 베리, 블렌드, 블렌딩"
상품군 맵핑 결과,다이어트/붓기 계열,113.0,"diet, 다이어트, 부기, 붓기, 이너뷰티"
상품군 맵핑 결과,허브티 계열,102.0,"herb tea, herbal tea, 허브 티, 허브티"
상품군 맵핑 결과,항산화/비타민 계열,88.0,"vitamin, 비타민, 안토시아닌, 항산화"
상품군 맵핑 결과,카페인 프리 계열,33.0,"decaf, 논카페인, 무카페인, 카페인 프리, 카페인프리"
게시글별 분류,브랜드 직접 매칭,285.0,brand_direct_match
게시글별 분류,브랜드 없음 → 상품군 맵핑,715.0,brand_not_found_product_category_mapping
게시글별 분류,브랜드/상품군 모두 미매칭,0.0,no_brand_or_category_match
감정 분석,감정 분석 성공,0.0,기본 설정에서는 감정 분석 미실행
