title,blogger,postdate,link,brand_candidates,brand_matched_keywords,product_category_candidates,product_category_matched_keywords,mapping_note
[분당/야탑 맛집] 애슐리퀸즈 NC 야탑점 주말 방문기! 주차...,단테형아의 일상이야기,20260506,https://blog.naver.com/clever507/224275848226,,{},"히비스커스 계열, 차/티백 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""]}",brand_not_found_product_category_mapping
울산 유곡동 컴포즈커피 메뉴 가격 한눈에 직접 확인해봤어요,무상훈 :: 한국의 미슐랭가이드 를 꿈꾸다,20260506,https://blog.naver.com/blu2sky7/224274097716,,{},"히비스커스 계열, 허브티 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""허브티 계열"": [""허브티""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""아이스티"", ""에이드"", ""음료""], ""블렌딩티 계열"": [""베리""]}",brand_not_found_product_category_mapping
"속초 1박2일 여행, 식단 관리 중에도 부담 없는 생선구이...",회사탈출 밍대리의 먹고 쓰는 리뷰,20260506,https://blog.naver.com/pay4bread/224275891683,티랑,"{""티랑"": [""티랑""]}","히비스커스 계열, 차/티백 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""]}",brand_direct_match
유자히비스커스 액상 리뷰~!,노원 시가K,20260506,https://blog.naver.com/cigakk/224276205346,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""티""], ""아이스티/음료 계열"": [""에이드"", ""음료""]}",brand_not_found_product_category_mapping
광주 상무지구 카페 과일모찌 맛집 선물 답례품 추천 | 등화,경우의 경우,20260506,https://blog.naver.com/cutlove5167/224276195560,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""아이스티"", ""에이드""]}",brand_not_found_product_category_mapping
"[혜화역 카페] 카페 마띠에르 로스터리, 케이크 맛있는 곳...",행복한 복치의 블로그,20260506,https://blog.naver.com/happybokchi/224274424208,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""아이스티"", ""음료""], ""블렌딩티 계열"": [""로즈힙"", ""블렌딩""]}",brand_not_found_product_category_mapping
나트랑 시내 쇼핑리스트 나트랑환전 팁 씀모이시장,맛과 여행이 있는 곳,20260506,https://blog.naver.com/baram1178/224275525307,,{},"히비스커스 계열, 차/티백 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""]}",brand_not_found_product_category_mapping
김포공항 푸드코트 출발 전 식사하기 좋은 웰리앤 카페테리아,먹으러 떠나는 여행,20260506,https://blog.naver.com/powerjf/224275541674,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""아이스티"", ""에이드""]}",brand_not_found_product_category_mapping
함안 신상 카페 '베이커리 카페 자양(JAYANG)' 가오픈 방문기...,또곰의 취향기록지,20260506,https://blog.naver.com/doy0104love/224275658553,,{},"히비스커스 계열, 차/티백 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""티""]}",brand_not_found_product_category_mapping
"2025년 몸에 좋은 차 7가지, 모르면 손해!",건강 정보 소개,20260506,https://durichat.tistory.com/125,,{},"히비스커스 계열, 차/티백 계열, 항산화/비타민 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""항산화/비타민 계열"": [""항산화""], ""아이스티/음료 계열"": [""음료""]}",brand_not_found_product_category_mapping
"홍대칵테일바 추천, 혼술과 데이트 다 되는 분위기 맛집...",일상을 여행처럼,20260506,https://blog.naver.com/claireenglish_/224276140790,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""티""], ""아이스티/음료 계열"": [""아이스티""]}",brand_not_found_product_category_mapping
구미 진평동 24시 카페 [백억커피],함 냐 함 냐,20260506,https://blog.naver.com/karma7_39/224276132410,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티"", ""티백""], ""아이스티/음료 계열"": [""에이드"", ""음료""], ""블렌딩티 계열"": [""블렌드""]}",brand_not_found_product_category_mapping
[전북 부안 카페]카페 909 | 바다랑 유채꽃이 너무 예쁜 카페,전주 인테리어 isdesign (조은인테리어),20260506,https://blog.naver.com/isdesign_/224274380143,,{},"히비스커스 계열, 허브티 계열, 차/티백 계열, 항산화/비타민 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""허브티 계열"": [""허브티""], ""차/티백 계열"": [""차"", ""티""], ""항산화/비타민 계열"": [""비타민""], ""아이스티/음료 계열"": [""아이스티"", ""음료""], ""블렌딩티 계열"": [""블렌딩""]}",brand_not_found_product_category_mapping
