brand,shopping_mention_count,source_queries,source_fields
아마드티,329,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
에빠니,297,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
코코비아,229,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
담터,174,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
녹차원,170,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
BETTY NARDI,166,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
리쉬티,128,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
티젠,123,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
라바,101,"히비스커스 차, 히비스커스 허브티",brand
아레스,93,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
오설록,80,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
두손애약초,78,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티","brand, maker"
쌍계명차,78,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
한마음디에스,67,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
쟈뎅,62,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
JARDIN,59,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
아크바,48,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
자연애,44,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
룩아워티,43,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
티앤,43,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
올데이티,42,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
다하다,41,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
해피테라스,40,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
평창에프앤비,38,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
TEAMAID,37,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
아만프리미엄티,37,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
오허브,36,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
제임스티스푼,36,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
라바티,35,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
다비앙,34,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
자연애에프앤비,34,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
흥국에프엔비,33,"hibiscus tea, 히비스커스 차, 히비스커스티","brand, maker"
스타벅스,32,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티","brand, maker"
공차,29,"hibiscus tea, 히비스커스 차, 히비스커스티","brand, maker"
트레디셔널메디셔널,29,"히비스커스 티백, 히비스커스 허브티","brand, maker"
에버티,28,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
닥터루트,27,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
스티븐스미스티메이커,27,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
우리가스토리,27,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
쿠스미티,27,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
티랑,27,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
프리미어스,27,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
다예,26,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
딜마,25,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
아람에프앤에이치,25,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
해밀생활건강,25,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
허브라,25,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티","brand, maker"
메디프레소,24,"hibiscus tea, 히비스커스 차, 히비스커스티","brand, maker"
허브나래,24,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티","brand, maker"
산해랑,23,"히비스커스 차, 히비스커스 티백","brand, maker"
LILIBET,22,"hibiscus tea, 히비스커스 차, 히비스커스 허브티, 히비스커스티",brand
다정헌,22,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
에스엠팜,22,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
우리차,22,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
코비스,22,"hibiscus tea, 히비스커스 차, 히비스커스 허브티, 히비스커스티",maker
티타임,22,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
허브월드,22,"히비스커스 티백, 히비스커스 허브티","brand, maker"
나우푸드,21,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
루트,21,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
봄봄가든,21,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
자연애푸드,20,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
논산팜,19,"히비스커스 차, 히비스커스 티백, 히비스커스 허브티","brand, maker"
동의한재,19,"hibiscus tea, 히비스커스 차, 히비스커스 허브티, 히비스커스티","brand, maker"
송원식품,19,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
숲으로,19,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
티리얼,19,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
꽃샘식품,18,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
다란,18,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
다익인터내셔널,18,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
엄마애손,18,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
우고래빗,18,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
티브리즈,18,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
와이케이컴퍼니,17,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
마이티리프,16,"히비스커스 티백, 히비스커스 허브티","brand, maker"
신선약초,16,"hibiscus tea, 히비스커스 차, 히비스커스 허브티, 히비스커스티","brand, maker"
티샹떼,16,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
라토스,15,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
아름드레,15,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
이너블릭,15,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
네이처라이크,14,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
다농원,14,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
더허브스토리,14,"히비스커스 티백, 히비스커스 허브티","brand, maker"
산들해,14,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티","brand, maker"
설다원,14,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티","brand, maker"
요기티,14,"히비스커스 티백, 히비스커스 허브티",brand
포스티보나,14,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
UNKNOWN,13,"hibiscus tea, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
내다람쥐,13,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
바르미식품,13,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
순수한집,13,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
탐나니,13,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
난다라이프,12,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
